deviceid,lat,lng,mapid,scale,start,end,duration
100,0.235077506824387,-0.233703470609662,actlab,27,1492593858903,1492593871319,12416
100,0.205216717774444,-0.21170253642449,actlab,27,1492593871319,1492593900296,28977
100,0.229774549857575,-0.239925326685628,actlab,27,1492593900296,1492593904429,4133
100,0.198449586936467,-0.211815595656242,actlab,27,1492593904429,1492593921002,16573
100,0.236078006951838,-0.206511663028413,actlab,27,1492593921002,1492593930466,9464
100,0.239554821414726,-0.244494213665483,actlab,27,1492593930466,1492593935773,5307
100,0.21681583888327,-0.20879226550964,actlab,27,1492593935773,1492593942286,6513
100,0.18567439878583,-0.231426356831844,actlab,27,1492593942286,1492593957671,15385
100,0.222363914303951,-0.242695657233457,actlab,27,1492593957671,1492594048676,91005
100,0.186705536456498,-0.22386011701871,actlab,27,1492594048676,1492594061672,12996
100,0.222782474523699,-0.238438068479453,actlab,27,1492594061672,1492594276790,215118
100,0.188443050536175,-0.224560576687826,actlab,27,1492594276790,1492594285066,8276
100,0.228612478955417,-0.218489191641665,actlab,27,1492594285066,1492594497801,212735
100,0.204213222052937,-0.247072631676201,actlab,27,1492594497801,1492594504298,6497
100,0.23865055379477,-0.230356735154395,actlab,27,1492594504298,1492594660315,156017
100,0.198867838286182,-0.239728585972086,actlab,27,1492594660315,1492594691616,31301
100,0.232402782462306,-0.215481880974587,actlab,27,1492594691616,1492594718199,26583
100,0.203650970626081,-0.242896080774208,actlab,27,1492594718199,1492594753068,34869
100,0.237292508758744,-0.220519153512084,actlab,27,1492594753068,1492594770797,17729
100,0.205290853547931,-0.245365106066299,actlab,27,1492594770797,1492594795037,24240
100,0.242428432383186,-0.237168559480517,actlab,27,1492594795037,1492594801544,6507
100,0.205242455101839,-0.22853544718365,actlab,27,1492594801544,1492594858294,56750
100,0.242536215662238,-0.220718746646402,actlab,27,1492594858294,1492594880160,21866
100,0.20052989199725,-0.232316342165942,actlab,27,1492594880160,1492594886658,6498
100,0.238092982235162,-0.241246243885128,actlab,27,1492594886658,1492594892565,5907
100,0.199950025474623,-0.233653576484738,actlab,27,1492594892565,1492594909707,17142
100,0.237486931764629,-0.246294940149969,actlab,27,1492594909707,1492594938052,28345
100,0.195175821970411,-0.250201434202622,actlab,27,1492594938052,1492594963468,25416
100,0.237118178378391,-0.250438237339368,actlab,27,1492594963468,1492594968189,4721
100,0.200610392337837,-0.258472127563084,actlab,27,1492594968189,1492594973501,5312
100,0.233765842966437,-0.24079172059607,actlab,27,1492594973501,1492594978816,5315
100,0.189944437926043,-0.25339194308568,actlab,27,1492594978816,1492594986491,7675
100,0.222762512672339,-0.23463211572703,actlab,27,1492594986491,1492595080447,93956
100,0.224567817886891,-0.274555047986768,actlab,27,1492595080447,1492595144814,64367
100,0.19465159010036,-0.250630148888099,actlab,27,1492595144814,1492595165485,20671
100,0.231108874361509,-0.224836232897274,actlab,27,1492595165485,1492595178485,13000
100,0.233282895071862,-0.263750298804171,actlab,27,1492595178485,1492595226352,47867
100,0.194287356809331,-0.267444629176698,actlab,27,1492595226352,1492595235815,9463
100,0.231146265410652,-0.260307811679315,actlab,27,1492595235815,1492595400639,164824
100,0.194399225935713,-0.25231983683372,actlab,27,1492595400639,1492595433138,32499
100,0.234996306614892,-0.247735134755268,actlab,27,1492595433138,1492595466801,33663
100,0.198359462049012,-0.242021959979031,actlab,27,1492595466801,1492595472708,5907
100,0.236919531715699,-0.241491296648744,actlab,27,1492595472708,1492595479204,6496
100,0.191068074028598,-0.238570517838917,actlab,27,1492595479204,1492595490435,11231
100,0.228398884512761,-0.241485804188619,actlab,27,1492595490435,1492595594447,104012
100,0.238676663674992,-0.205843187762184,actlab,27,1492595594447,1492595602129,7682
100,0.235090800925461,-0.244367614440408,actlab,27,1492595602129,1492595748116,145987
100,0.192345488093575,-0.238509032505295,actlab,27,1492595748116,1492595759350,11234
100,0.23013418691144,-0.241461468704628,actlab,27,1492595759350,1492596170556,411206
100,0.205038749461504,-0.21223557110326,actlab,27,1492596170556,1492596178231,7675
100,0.227681629423221,-0.243863594747643,actlab,27,1492596178231,1492596225497,47266
100,0.200150759528271,-0.20812373473993,actlab,27,1492596225497,1492596233173,7676
100,0.220561713069773,-0.243026630701873,actlab,27,1492596233173,1492596673196,440023
100,0.199277506491754,-0.276230075657791,actlab,27,1492596673196,1492596684347,11151
100,0.204018586967503,-0.23911492637952,actlab,27,1492596684347,1492596818163,133816
100,0.234442308645815,-0.263826024590672,actlab,27,1492596818163,1492596947834,129671
100,0.217427210494216,-0.229535858750767,actlab,27,1492596947834,1492597251197,303363
100,0.241985971638869,-0.201537111061128,actlab,27,1492597251197,1492597257068,5871
100,0.22921588341665,-0.237229401660638,actlab,27,1492597257068,1492597275838,18770
100,0.240791839311068,-0.191213396529953,actlab,27,1492597275838,1492597282871,7033
100,0.235798865313884,-0.229085553420306,actlab,27,1492597282871,1492597328051,45180
100,0.198639417261948,-0.23482460516084,actlab,27,1492597328051,1492597348601,20550
100,0.234244272849289,-0.222485617368921,actlab,27,1492597348601,1492597400232,51631
100,0.197553032734859,-0.233056859688186,actlab,27,1492597400232,1492597416664,16432
100,0.221635618784953,-0.201738506415782,actlab,27,1492597416664,1492597432507,15843
100,0.203281989507699,-0.234971982310857,actlab,27,1492597432507,1492597437779,5272
100,0.238785800926398,-0.22430692106535,actlab,27,1492597437779,1492597490602,52823
100,0.212028184378593,-0.253718986839552,actlab,27,1492597490602,1492597518752,28150
100,0.236273626915287,-0.220346270337901,actlab,27,1492597518752,1492597524038,5286
100,0.205553013301642,-0.244414781211015,actlab,27,1492597524038,1492597533441,9403
100,0.222623574560694,-0.209835896624732,actlab,27,1492597533441,1492597573618,40177
100,0.215145489543002,-0.247760635426657,actlab,27,1492597573618,1492597593717,20099
100,0.24572119064437,-0.218971246154853,actlab,27,1492597593717,1492597607892,14175
100,0.209095805251406,-0.234394303211922,actlab,27,1492597607892,1492597620881,12989
100,0.238721111943674,-0.211966392633923,actlab,27,1492597620881,1492597630922,10041
